Site,Quadrant,Site_ID,n_s,duneheight,transect length (m),dist to dune (m),dist to strand (m),specific_conductance,soil.moisture.pct,pct.OM,prop.OM,soil.moisture.prop
1,1,0101,S,1.1,102,0,50.7,89.60554371,3.275529865,0.098522167,0.000985222,0.032755299
1,2,0102,S,1.1,102,11.333,62.033,119.0578158,8.426966292,2.584269663,0.025842697,0.084269663
1,3,0103,S,1.1,102,22.666,73.366,1010.515021,19.94773519,0.348432056,0.003484321,0.199477352
1,4,0104,S,1.1,102,33.999,84.699,1986.021505,26.79012346,0.740740741,0.007407407,0.267901235
1,5,0105,S,1.1,102,45.333,96.033,1004.291845,24.96626181,1.349527665,0.013495277,0.249662618
1,6,0106,S,1.1,102,56.666,107.366,543.4408602,2.78372591,0.321199143,0.003211991,0.027837259
1,7,0107,S,1.1,102,67.999,118.699,21.98924731,0.196656834,0.237247924,0.002372479,0.001966568
1,8,0108,S,1.1,102,79.333,130.033,676.1802575,24.87437186,0.879396985,0.00879397,0.248743719
1,9,0109,S,1.1,102,90.666,141.366,149.6781116,9.351753454,0.319148936,0.003191489,0.093517535
1,10,0110,S,1.1,102,102,152.7,61.45922747,1.698301698,0.401606426,0.004016064,0.016983017
2,1,0201,S,1.4,128,0,21.4,168.5344828,1.371204701,0.587659158,0.005876592,0.013712047
2,2,0202,S,1.4,128,14.222,35.622,85.04310345,4.646464646,0,0,0.046464646
2,3,0203,S,1.4,128,28.444,49.844,167.1706263,6.680805938,0.106269926,0.001062699,0.066808059
2,4,0204,S,1.4,128,42.666,64.066,125.161987,7.246376812,7.763975155,0.077639752,0.072463768
2,5,0205,S,1.4,128,56.888,78.288,5.244060475,20.05044136,0.756620429,0.007566204,0.200504414
2,6,0206,S,1.4,128,71.111,92.511,366.5584416,24.06738869,0.360576923,0.003605769,0.240673887
2,7,0207,S,1.4,128,85.333,106.733,32.23542117,4.473161034,0.2997003,0.002997003,0.04473161
2,8,0208,S,1.4,128,99.555,120.955,35.88552916,3.741152679,0.707785642,0.007077856,0.037411527
2,9,0209,S,1.4,128,113.777,135.177,400.8639309,5.761316872,0.124533001,0.00124533,0.057613169
2,10,0210,S,1.4,128,128,149.4,135.5150215,5.11627907,0.465116279,0.004651163,0.051162791
3,1,0301,S,0.6,101,0,51.5,46.25,0.300902708,0.100704935,0.001007049,0.003009027
3,2,0302,S,0.6,101,11.222,62.722,26.31974249,4.699453552,0.546448087,0.005464481,0.046994536
3,3,0303,S,0.6,101,22.444,73.944,46.13733906,5.517241379,0.574712644,0.005747126,0.055172414
3,4,0304,S,0.6,101,33.666,85.166,32.45708155,4.965243297,0.100502513,0.001005025,0.049652433
3,5,0305,S,0.6,101,44.888,96.388,52.20430108,4.215686275,0.098135427,0.000981354,0.042156863
3,6,0306,S,0.6,101,56.111,107.611,77.72532189,6.482465462,0.106496273,0.001064963,0.064824655
3,7,0307,S,0.6,101,67.333,118.833,50.77419355,13.67112811,32.02676864,0.320267686,0.136711281
3,8,0308,S,0.6,101,78.555,130.055,1075.488069,23.53658537,1.070154578,0.010701546,0.235365854
3,9,0309,S,0.6,101,89.777,141.277,67.7311828,15.1552795,0.621118012,0.00621118,0.151552795
3,10,0310,S,0.6,101,101,152.5,41.17204301,3.72983871,0.403225806,0.004032258,0.037298387
4,1,0401,S,1,72,0,64,136.1171367,4.229607251,0.302114804,0.003021148,0.042296073
4,2,0402,S,1,72,8,72,49.89130435,4.3,0.0999001,0.000999001,0.043
4,3,0403,S,1,72,16,80,403.4934498,3.68159204,0.227014756,0.002270148,0.03681592
4,4,0404,S,1,72,24,88,22.94117647,3.661087866,0.107411386,0.001074114,0.036610879
4,5,0405,S,1,72,32,96,544.8801743,31.94444444,0.462962963,0.00462963,0.319444444
4,6,0406,S,1,72,40,104,253.4782609,24.54212454,1.348039216,0.013480392,0.245421245
4,7,0407,S,1,72,48,112,174.2358079,12.00428725,0.428265525,0.004282655,0.120042872
4,8,0408,S,1,72,56,120,35.43668122,2.623612513,0.308641975,0.00308642,0.026236125
4,9,0409,S,1,72,64,128,27.23913043,2.030456853,0.610997963,0.00610998,0.020304569
4,10,0410,S,1,72,72,136,46.13882863,1.776900296,0.396039604,0.003960396,0.017769003
5,1,0501,S,1,88,0,57,56.03036876,3.645833333,25.9375,0.259375,0.036458333
5,2,0502,S,1,88,9.777,66.777,34.64130435,2.318548387,0.210970464,0.002109705,0.023185484
5,3,0503,S,1,88,19.555,76.555,55.81344902,9.956236324,0.458715596,0.004587156,0.099562363
5,4,0504,S,1,88,29.333,86.333,1051.304348,21.09207709,0.96359743,0.009635974,0.210920771
5,5,0505,S,1,88,39.111,96.111,114.9237473,0.095602294,0.462427746,0.004624277,0.000956023
5,6,0506,S,1,88,48.888,105.888,120.9327549,22.95514512,1.451187335,0.014511873,0.229551451
5,7,0507,S,1,88,58.666,115.666,25.37960954,14.50892857,0.340909091,0.003409091,0.145089286
5,8,0508,S,1,88,68.444,125.444,33.45986985,1.382033564,0.394866732,0.003948667,0.013820336
5,9,0509,S,1,88,78.222,135.222,22.56493506,2.016129032,0.101010101,0.001010101,0.02016129
5,10,0510,S,1,88,87.999,144.999,67.02380952,0.096246391,0.580832527,0.005808325,0.000962464
6,1,0601,N,2,62,0,53,86.63066955,2.83203125,0.29296875,0.002929687,0.028320312
6,2,0602,N,2,62,6.888,59.888,53.13852814,3.207331042,0.343642612,0.003436426,0.03207331
6,3,0603,N,2,62,13.777,66.777,41.77173913,0.683176772,0,0,0.006831768
6,4,0604,N,2,62,20.666,73.666,41.36659436,2.309236948,0.302114804,0.003021148,0.023092369
6,5,0605,N,2,62,27.555,80.555,26.66666667,1.898734177,1.054852321,0.010548523,0.018987342
6,6,0606,N,2,62,34.444,87.444,61.36956522,1.160541586,2.529182879,0.025291829,0.011605416
6,7,0607,N,2,62,41.333,94.333,22.37472767,3.153611394,0.509683996,0.00509684,0.031536114
6,8,0608,N,2,62,48.222,101.222,17.84164859,0.295857988,0.495540139,0.004955401,0.00295858
6,9,0609,N,2,62,55.111,108.111,29.43600868,1.028999065,0.654817587,0.006548176,0.010289991
6,10,0610,N,2,62,61.999,114.999,44.83801296,2.670940171,5.448717949,0.054487179,0.026709402
7,1,0701,N,0.3,88,0,33.7,488.8286334,1.825168108,0.288184438,0.002881844,0.018251681
7,2,0702,N,0.3,88,9.777,43.477,39.09188034,3.27198364,0.206398349,0.002063983,0.032719836
7,3,0703,N,0.3,88,19.555,53.255,69.59227468,3.415154749,0.426894344,0.004268943,0.034151547
7,4,0704,N,0.3,88,29.333,63.033,33.36188437,3.042596349,4.19921875,0.041992188,0.030425963
7,5,0705,N,0.3,88,39.111,72.811,33.76068376,0.891089109,7.562189055,0.075621891,0.008910891
7,6,0706,N,0.3,88,48.888,82.588,17.13675214,1.908801697,0.318133616,0.003181336,0.019088017
7,7,0707,N,0.3,88,58.666,92.366,34.55128205,2.730030334,0.201612903,0.002016129,0.027300303
7,8,0708,N,0.3,88,68.444,102.144,27.49466951,1.480750247,1.188118812,0.011881188,0.014807502
7,9,0709,N,0.3,88,78.222,111.922,55.62899787,0.390243902,1.175318315,0.011753183,0.003902439
7,10,0710,N,0.3,88,87.999,121.699,37.42553191,2.626459144,0.680933852,0.006809339,0.026264591
8,1,0801,N,0.5,80,0,36.8,95.74193548,2.742409403,0.196270854,0.001962709,0.027424094
8,2,0802,N,0.5,80,8.888,45.688,39.1827957,2.97029703,0.597609562,0.005976096,0.02970297
8,3,0803,N,0.5,80,17.777,54.577,26.68103448,13.46982759,0.21574973,0.002157497,0.134698276
8,4,0804,N,0.5,80,26.666,63.466,21.6487069,2.86259542,0.198019802,0.001980198,0.028625954
8,5,0805,N,0.5,80,35.555,72.355,25.9287257,2.110552764,0.100704935,0.001007049,0.021105528
8,6,0806,N,0.5,80,44.444,81.244,19.29805616,1.812688822,2.53164557,0.025316456,0.018126888
8,7,0807,N,0.5,80,53.333,90.133,29.97840173,3.232125367,0.789733465,0.007897335,0.032321254
8,8,0808,N,0.5,80,62.222,99.022,34.42764579,0.508130081,0.81300813,0.008130081,0.005081301
8,9,0809,N,0.5,80,71.111,107.911,19.74025974,1.248699272,0.624349636,0.006243496,0.012486993
8,10,0810,N,0.5,80,79.999,116.799,40.72354212,0.392541708,0.790513834,0.007905138,0.003925417
9,1,0901,N,1.4,17,0,26.2,133.5869565,2.739726027,5.582761998,0.05582762,0.02739726
9,2,0902,N,1.4,17,1.888,28.088,41.2745098,1.379310345,0.297324083,0.002973241,0.013793103
9,3,0903,N,1.4,17,3.777,29.977,55.69565217,1.283316881,0.098911968,0.00098912,0.012833169
9,4,0904,N,1.4,17,5.666,31.866,21.75,0.983284169,1.379310345,0.013793103,0.009832842
9,5,0905,N,1.4,17,7.555,33.755,44.13943355,2.458210423,0.295566502,0.002955665,0.024582104
9,6,0906,N,1.4,17,9.444,35.644,51.99346405,4.628736741,0.771456123,0.007714561,0.046287367
9,7,0907,N,1.4,17,11.333,37.533,50.45652174,1.74249758,0.582524272,0.005825243,0.017424976
9,8,0908,N,1.4,17,13.222,39.422,16.67030568,3.643724696,0.20242915,0.002024291,0.036437247
9,9,0909,N,1.4,17,15.111,41.311,65.05446623,1.415571284,2.538071066,0.025380711,0.014155713
9,10,0910,N,1.4,17,17,43.2,103.6819172,5.186721992,4.564315353,0.045643154,0.05186722
10,1,1001,N,1.4,33,0,31.5,56.88841202,0.883002208,0.220750552,0.002207506,0.008830022
10,2,1002,N,1.4,33,3.666,35.166,20.12903226,2.113459399,0.333704116,0.003337041,0.021134594
10,3,1003,N,1.4,33,7.333,38.833,19.62284483,2.618816683,0.391006843,0.003910068,0.026188167
10,4,1004,N,1.4,33,1,32.5,35.69114471,0.756859035,0.189214759,0.001892148,0.00756859
10,5,1005,N,1.4,33,14.666,46.166,76.57667387,0.661000944,0.380952381,0.003809524,0.006610009
10,6,1006,N,1.4,33,18.333,49.833,73.30107527,0,1.12704918,0.011270492,0
10,7,1007,N,1.4,33,22,53.5,18.48812095,0.799200799,0.497512438,0.004975124,0.007992008
10,8,1008,N,1.4,33,25.666,57.166,27.11038961,0.994035785,0.499001996,0.00499002,0.009940358
10,9,1009,N,1.4,33,29.333,60.833,65.43290043,0.286259542,1.260504202,0.012605042,0.002862595
10,10,1010,N,1.4,33,33,64.5,45.89519651,2.410901468,2.096436059,0.020964361,0.024109015
